SYSTEM;RELEASE;CLASS;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC;key_class
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$4;2.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;0.0;0.0;50.0;0.0;0.0;0.0;0.75;0.0;0.0;23.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$5$1;3.0;0.0;0.0;4.0;12.0;0.0;0.0;4.0;1.0;0.5;54.0;0.0;0.0;0.0;0.6;0.0;0.0;16.3333;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$5$2;2.0;0.0;0.0;5.0;7.0;0.0;0.0;5.0;1.0;0.0;45.0;0.0;0.0;0.0;0.625;0.0;0.0;20.5;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$5;3.0;0.0;0.0;10.0;6.0;3.0;0.0;10.0;0.0;1.0;29.0;0.0;0.0;0.0;0.4444;0.0;0.0;8.3333;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$6;3.0;1.0;0.0;3.0;4.0;1.0;0.0;3.0;2.0;0.0;36.0;0.0;0.0;0.0;0.6667;0.0;0.0;10.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$7;3.0;1.0;0.0;4.0;6.0;1.0;0.0;4.0;2.0;0.25;49.0;0.0;0.0;0.0;0.5333;0.0;0.0;14.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$BKDMergeQueue;4.0;0.0;0.0;4.0;8.0;2.0;0.0;4.0;3.0;0.3333;66.0;0.5;0.0;0.0;0.5;0.0;0.0;15.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$MergeReader$1;5.0;1.0;0.0;5.0;11.0;6.0;0.0;5.0;3.0;0.75;72.0;0.0;0.0;0.0;0.5625;0.0;0.0;12.8;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$MergeReader;4.0;1.0;0.0;6.0;17.0;0.0;0.0;6.0;2.0;0.7778;201.0;0.4444;0.0;0.0;0.4167;0.0;0.0;47.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$OneDimensionBKDWriter$1;3.0;1.0;0.0;3.0;4.0;1.0;0.0;3.0;2.0;0.0;45.0;0.0;0.0;0.0;0.6667;0.0;0.0;13.3333;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$OneDimensionBKDWriter;5.0;1.0;0.0;5.0;40.0;0.0;0.0;5.0;1.0;0.4091;514.0;0.0;0.0;0.0;0.4;0.0;0.0;99.6;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$PathSlice;2.0;1.0;0.0;1.0;8.0;0.0;0.0;1.0;2.0;0.0;39.0;0.0;0.0;0.0;0.6667;0.0;0.0;17.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter;42.0;1.0;0.0;38.0;152.0;175.0;0.0;38.0;8.0;0.8596;3713.0;0.5135;0.0;0.0;0.1541;0.0;0.0;86.5238;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery$1;2.0;0.0;0.0;5.0;7.0;1.0;0.0;5.0;1.0;2.0;37.0;0.0;0.0;0.0;0.75;0.0;0.0;17.5;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery$2;3.0;0.0;0.0;4.0;5.0;0.0;0.0;4.0;0.0;0.5;87.0;0.0;0.0;0.0;0.5;0.0;0.0;26.6667;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery$Builder;6.0;1.0;0.0;8.0;14.0;5.0;0.0;8.0;6.0;0.44;135.0;1.0;0.0;0.0;0.4333;0.0;0.0;20.6667;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery$DisjunctionMaxRewrite;4.0;0.0;0.0;3.0;10.0;0.0;0.0;3.0;4.0;0.0;51.0;1.0;0.0;0.0;0.4375;0.0;0.0;11.5;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery$RewriteMethod;2.0;1.0;0.0;1.0;3.0;1.0;0.0;1.0;1.0;2.0;5.0;0.0;0.0;0.0;0.75;0.0;0.0;1.5;0.0
lucene;6.2.0;org.apache.lucene.search.BlendedTermQuery;9.0;0.0;0.0;12.0;46.0;14.0;0.0;12.0;4.0;0.5714;416.0;0.5714;0.0;0.0;0.2212;0.0;0.0;44.4444;0.0
lucene;6.2.0;org.apache.lucene.util.packed.BlockPackedReader;5.0;0.0;0.0;10.0;30.0;0.0;0.0;10.0;4.0;0.6071;271.0;0.8571;0.0;0.0;0.45;0.0;0.0;51.8;0.0
lucene;6.2.0;org.apache.lucene.util.packed.BlockPackedReaderIterator;10.0;1.0;0.0;7.0;30.0;0.0;0.0;7.0;6.0;0.4778;690.0;0.0;0.0;0.0;0.4722;0.0;0.0;67.0;0.0
lucene;6.2.0;org.apache.lucene.util.packed.BlockPackedWriter;7.0;0.0;0.0;4.0;22.0;19.0;0.0;4.0;5.0;0.8333;157.0;0.0;0.0;0.0;0.4167;0.0;0.0;21.2857;0.0
lucene;6.2.0;org.apache.lucene.codecs.BlockTermState;4.0;0.0;0.0;2.0;15.0;2.0;0.0;2.0;2.0;0.6667;87.0;0.0;0.0;0.0;0.6667;0.0;0.0;19.5;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsReader;13.0;0.0;0.0;22.0;74.0;8.0;0.0;22.0;9.0;0.9896;708.0;0.125;0.0;0.0;0.2143;0.0;0.0;51.6154;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$FieldMetaData;3.0;1.0;0.0;2.0;11.0;0.0;0.0;2.0;1.0;0.9091;89.0;0.0909;0.0;0.0;0.5;0.0;0.0;25.0;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingBlock;5.0;0.0;0.0;14.0;35.0;2.0;0.0;14.0;3.0;0.75;302.0;0.0;0.0;0.0;0.375;0.0;0.0;57.8;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingEntry;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingTerm;2.0;0.0;0.0;4.0;8.0;0.0;0.0;4.0;2.0;0.5;37.0;0.0;0.0;0.0;0.6667;0.0;0.0;16.5;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$TermsWriter;7.0;1.0;0.0;20.0;63.0;0.0;0.0;20.0;2.0;0.475;1401.0;0.7;0.0;0.0;0.3333;0.0;0.0;196.2857;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter;16.0;0.0;0.0;22.0;61.0;88.0;0.0;22.0;4.0;0.9511;613.0;0.4;0.0;0.0;0.1515;0.0;0.0;36.375;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BM25Similarity$BM25DocScorer;5.0;0.0;0.0;6.0;13.0;0.0;0.0;6.0;4.0;0.55;86.0;0.8;0.0;0.0;0.375;0.0;0.0;15.2;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BM25Similarity$BM25Stats;9.0;0.0;0.0;2.0;11.0;16.0;0.0;2.0;2.0;0.7917;69.0;1.0;0.0;0.0;0.2593;0.0;0.0;6.0;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BM25Similarity;23.0;0.0;0.0;14.0;60.0;201.0;0.0;14.0;12.0;0.7273;599.0;1.0;0.0;0.0;0.1417;0.0;0.0;24.8696;0.0
lucene;6.2.0;org.apache.lucene.search.BooleanClause$1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
